DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Finland,2024,132066267,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2013,1177899648,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2014,1189953735,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2015,1060518125,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2016,1039998283,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2017,1049371921,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2018,1063781398,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2019,1021743733,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2020,800314794,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2021,908435331,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2022,1015244700,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2023,1063907617,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,France,2024,1029451910,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2013,43696848,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2014,37422357,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2015,37592955,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2016,23077948,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2017,26633172,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2018,24738769,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2019,28229007,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2020,18566235,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2021,22994782,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2022,24585276,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2023,29478476,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Croatia,2024,30069015,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2013,59222069,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2014,63152596,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2015,63939104,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2016,64088907,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2017,64753994,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2018,68914342,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2019,75071447,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2020,36181336,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2021,39955559,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2022,56431031,,
ESTAT:TIN00191(1.0),08/05/26 23:00:00,Annual,All countries of the world,Personal reasons,1 night or over,Number,Hungary,2023,63572238,,
